# Station Code,chvo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SBRY,SGRN,WGRN
03/02,,,,,,,,,0.04
03/03,,,,,,,,,0.03
03/04,,,,,,,,,0.03
03/05,,,,,0.02,0.035,,,0.03
03/06,,,,,0.01,0.027,,,0.03
03/07,,,,,0.01,0.027,,,0.03
03/08,,,,,0.01,0.03,,,0.01
03/09,,,,,0.01,0.033,,,0.03
03/10,0.02,0.02,,,0.01,0.033,,,0.03
03/11,0.01,0.01,,,0.01,0.023,,,0.03
03/12,0.02,0.02,,,0.02,0.027,,,0.03
03/13,0.02,0.02,,,0.02,0.037,,,0.04
03/14,0.04,0.04,,,0.02,0.043,,,0.03
03/15,0.027,0.027,,,0.02,0.05,,,0.04
03/16,0.02,0.02,,,0.04,0.047,,,0.035
03/17,0.02,0.02,,,0.04,0.033,,,0.03
03/18,0.023,0.023,,,0.06,0.043,,,0.04
03/19,0.03,0.03,,,0.06,0.057,,,0.052
03/20,0.027,0.027,,,0.03,0.04,,,0.042
03/21,0.033,0.033,,,0.033,0.044,,,0.045
03/22,0.02,0.02,,,0.028,0.036,,,0.042
03/23,0.03,0.03,,,0.035,0.042,0.01,,0.055
03/24,0.047,0.047,,,0.04,0.05,0.02,,0.062
03/25,0.033,0.033,,,0.035,0.043,0.01,,0.06
03/26,0.035,0.035,,,0.03,0.037,0.02,,0.052
03/27,0.05,0.05,,,0.047,0.049,0.02,,0.067
03/28,0.048,0.048,,,0.045,0.046,0.03,,0.065
03/29,0.05,0.05,,,0.053,0.043,0.04,,0.07
03/30,0.06,0.06,,,0.06,0.054,0.04,,0.073
03/31,0.05,0.05,,,0.057,0.05,0.04,,0.068
04/01,0.033,0.033,0.08,0.08,0.05,0.043,0.024,,0.056
04/02,0.047,0.047,0.085,0.085,0.07,0.057,0.028,,0.062
04/03,0.05,0.05,0.095,0.095,0.075,0.054,0.03,,0.064
04/04,0.047,0.047,0.1,0.1,0.068,0.05,0.024,,0.063
04/05,0.047,0.047,0.073,0.073,0.046,0.044,0.021,,0.061
04/06,0.067,0.067,0.089,0.089,0.065,0.055,0.03,,0.082
04/07,0.077,0.077,0.111,0.111,0.078,0.066,0.036,,0.105
04/08,0.078,0.078,0.097,0.097,0.073,0.061,0.037,,0.091
04/09,0.093,0.093,0.11,0.11,0.082,0.068,0.041,,0.107
04/10,0.063,0.067,0.113,0.113,0.083,0.072,0.036,,0.101
04/11,0.055,0.059,0.1,0.1,0.076,0.063,0.034,,0.087
04/12,0.061,0.065,0.112,0.112,0.085,0.07,0.039,,0.093
04/13,0.063,0.068,0.106,0.106,0.088,0.068,0.037,,0.096
04/14,0.062,0.065,0.111,0.111,0.092,0.071,0.045,,0.097
04/15,0.062,0.065,0.107,0.107,0.085,0.066,0.045,,0.091
04/16,0.066,0.07,0.112,0.112,0.089,0.07,0.045,,0.095
04/17,0.083,0.09,0.129,0.129,0.11,0.083,0.057,,0.116
04/18,0.095,0.1,0.145,0.145,0.12,0.092,0.065,,0.127
04/19,0.093,0.099,0.137,0.137,0.115,0.088,0.065,,0.123
04/20,0.085,0.088,0.133,0.133,0.113,0.085,0.068,,0.118
04/21,0.104,0.107,0.157,0.157,0.133,0.101,0.082,,0.14
04/22,0.092,0.093,0.147,0.147,0.123,0.092,0.078,,0.126
04/23,0.104,0.105,0.158,0.158,0.136,0.101,0.09,,0.142
04/24,0.095,0.096,0.144,0.144,0.123,0.089,0.087,,0.129
04/25,0.096,0.102,0.136,0.136,0.118,0.088,0.083,,0.127
04/26,0.115,0.121,0.161,0.161,0.139,0.105,0.101,,0.149
04/27,0.128,0.136,0.177,0.177,0.155,0.115,0.115,,0.163
04/28,0.117,0.125,0.155,0.155,0.136,0.105,0.109,,0.148
04/29,0.128,0.135,0.168,0.168,0.148,0.113,0.122,,0.161
04/30,0.143,0.151,0.185,0.185,0.164,0.124,0.137,,0.178
05/01,0.143,0.151,0.173,0.173,0.154,0.122,0.141,,0.171
05/02,0.155,0.165,0.191,0.191,0.168,0.132,0.152,,0.186
05/03,0.163,0.174,0.199,0.199,0.176,0.139,0.165,,0.195
05/04,0.165,0.18,0.202,0.202,0.176,0.141,0.167,,0.198
05/05,0.149,0.161,0.181,0.181,0.16,0.128,0.156,,0.18
05/06,0.145,0.156,0.172,0.172,0.151,0.121,0.16,,0.173
05/07,0.152,0.163,0.178,0.178,0.156,0.128,0.165,,0.18
05/08,0.158,0.168,0.183,0.184,0.158,0.129,0.174,,0.187
05/09,0.17,0.182,0.195,0.195,0.168,0.138,0.189,,0.201
05/10,0.167,0.177,0.192,0.192,0.167,0.137,0.182,0.02,0.195
05/11,0.163,0.175,0.188,0.188,0.162,0.134,0.185,0.03,0.192
05/12,0.175,0.187,0.198,0.199,0.17,0.142,0.195,0.03,0.204
05/13,0.189,0.203,0.214,0.216,0.185,0.152,0.208,0.04,0.22
05/14,0.163,0.177,0.185,0.19,0.158,0.132,0.182,0.05,0.19
05/15,0.167,0.177,0.188,0.189,0.158,0.133,0.177,0.05,0.193
05/16,0.164,0.175,0.182,0.185,0.155,0.131,0.172,0.04,0.188
05/17,0.188,0.208,0.212,0.212,0.178,0.149,0.203,0.045,0.219
05/18,0.169,0.186,0.189,0.191,0.158,0.135,0.179,0.05,0.197
05/19,0.155,0.168,0.172,0.172,0.145,0.124,0.157,0.04,0.177
05/20,0.149,0.168,0.168,0.169,0.144,0.121,0.153,0.047,0.175
05/21,0.149,0.172,0.166,0.168,0.142,0.12,0.157,0.043,0.174
05/22,0.16,0.182,0.181,0.182,0.152,0.128,0.17,0.047,0.188
05/23,0.176,0.2,0.196,0.197,0.165,0.142,0.185,0.053,0.205
05/24,0.188,0.227,0.212,0.212,0.176,0.151,0.198,0.067,0.22
05/25,0.17,0.203,0.191,0.192,0.16,0.135,0.184,0.045,0.199
05/26,0.17,0.204,0.191,0.192,0.162,0.137,0.185,0.045,0.201
05/27,0.18,0.212,0.202,0.202,0.169,0.145,0.191,0.048,0.211
05/28,0.182,0.218,0.205,0.205,0.173,0.148,0.198,0.049,0.215
05/29,0.202,0.235,0.228,0.228,0.191,0.161,0.221,0.055,0.238
05/30,0.202,0.232,0.225,0.226,0.189,0.161,0.218,0.057,0.236
05/31,0.193,0.221,0.215,0.215,0.179,0.154,0.207,0.06,0.225
06/01,0.204,0.235,0.229,0.23,0.192,0.163,0.222,0.069,0.24
06/02,0.204,0.239,0.229,0.231,0.194,0.164,0.223,0.073,0.241
06/03,0.227,0.272,0.254,0.258,0.215,0.182,0.245,0.086,0.268
06/04,0.212,0.261,0.235,0.239,0.199,0.167,0.228,0.085,0.248
06/05,0.219,0.257,0.243,0.247,0.205,0.175,0.241,0.096,0.257
06/06,0.197,0.229,0.218,0.222,0.185,0.155,0.218,0.098,0.231
06/07,0.215,0.259,0.238,0.244,0.203,0.172,0.234,0.122,0.254
06/08,0.206,0.244,0.229,0.233,0.194,0.165,0.224,0.127,0.243
06/09,0.205,0.238,0.225,0.231,0.193,0.164,0.224,0.141,0.241
06/10,0.208,0.242,0.228,0.235,0.195,0.167,0.228,0.154,0.245
06/11,0.211,0.245,0.23,0.236,0.198,0.168,0.233,0.165,0.247
06/12,0.215,0.254,0.235,0.243,0.203,0.173,0.237,0.175,0.254
06/13,0.227,0.263,0.245,0.258,0.215,0.182,0.249,0.192,0.268
06/14,0.221,0.251,0.235,0.247,0.205,0.176,0.242,0.198,0.258
06/15,0.208,0.239,0.222,0.236,0.195,0.165,0.23,0.198,0.245
06/16,0.218,0.251,0.231,0.245,0.205,0.173,0.238,0.215,0.255
06/17,0.212,0.237,0.223,0.238,0.199,0.17,0.233,0.214,0.249
06/18,0.202,0.231,0.209,0.225,0.189,0.161,0.224,0.207,0.237
06/19,0.229,0.266,0.239,0.256,0.218,0.185,0.253,0.241,0.27
06/20,0.235,0.272,0.242,0.265,0.222,0.187,0.262,0.253,0.277
06/21,0.232,0.268,0.238,0.259,0.218,0.184,0.258,0.252,0.272
06/22,0.242,0.293,0.248,0.27,0.228,0.192,0.27,0.268,0.285
06/23,0.245,0.29,0.248,0.272,0.23,0.195,0.272,0.273,0.288
06/24,0.24,0.278,0.241,0.264,0.225,0.189,0.268,0.271,0.281
06/25,0.232,0.271,0.235,0.258,0.221,0.185,0.259,0.266,0.274
06/26,0.242,0.288,0.24,0.266,0.227,0.194,0.269,0.275,0.283
06/27,0.275,0.324,0.272,0.303,0.257,0.218,0.306,0.315,0.322
06/28,0.26,0.306,0.256,0.287,0.242,0.207,0.288,0.298,0.305
06/29,0.264,0.319,0.258,0.288,0.247,0.211,0.295,0.306,0.308
06/30,0.281,0.337,0.273,0.309,0.264,0.223,0.312,0.329,0.329
07/01,0.275,0.325,0.267,0.303,0.259,0.22,0.305,0.323,0.322
07/02,0.285,0.333,0.274,0.316,0.272,0.228,0.318,0.337,0.335
07/03,0.282,0.33,0.269,0.309,0.265,0.225,0.313,0.331,0.328
07/04,0.282,0.33,0.268,0.309,0.265,0.224,0.312,0.331,0.327
07/05,0.28,0.329,0.266,0.308,0.264,0.224,0.31,0.33,0.325
07/06,0.293,0.344,0.277,0.321,0.276,0.235,0.322,0.345,0.336
07/07,0.285,0.331,0.268,0.309,0.267,0.225,0.311,0.333,0.321
07/08,0.258,0.294,0.242,0.281,0.242,0.205,0.282,0.302,0.29
07/09,0.265,0.304,0.248,0.288,0.248,0.212,0.288,0.312,0.292
07/10,0.25,0.287,0.234,0.272,0.234,0.199,0.27,0.292,0.272
07/11,0.253,0.293,0.238,0.277,0.238,0.202,0.273,0.298,0.275
07/12,0.265,0.306,0.25,0.289,0.25,0.212,0.285,0.312,0.284
07/13,0.259,0.3,0.244,0.281,0.244,0.206,0.277,0.304,0.265
07/14,0.26,0.3,0.245,0.282,0.245,0.207,0.277,0.305,0.262
07/15,0.272,0.314,0.255,0.294,0.255,0.215,0.287,0.32,0.269
07/16,0.264,0.311,0.248,0.285,0.248,0.211,0.277,0.31,0.252
07/17,0.264,0.311,0.248,0.285,0.248,0.211,0.275,0.31,0.241
07/18,0.258,0.304,0.243,0.278,0.243,0.205,0.267,0.303,0.225
07/19,0.259,0.308,0.243,0.28,0.243,0.207,0.266,0.305,0.216
07/20,0.268,0.316,0.254,0.289,0.254,0.214,0.273,0.315,0.214
07/21,0.274,0.323,0.259,0.295,0.259,0.219,0.277,0.323,0.214
07/22,0.265,0.307,0.249,0.285,0.249,0.211,0.265,0.311,0.2
07/23,0.263,0.306,0.248,0.283,0.248,0.208,0.262,0.308,0.186
07/24,0.255,0.298,0.239,0.272,0.239,0.203,0.252,0.3,0.175
07/25,0.265,0.308,0.248,0.282,0.248,0.208,0.256,0.31,0.141
07/26,0.258,0.306,0.242,0.275,0.242,0.206,0.248,0.302,0.186
07/27,0.243,0.291,0.231,0.261,0.231,0.195,0.233,0.286,0.173
07/28,0.261,0.31,0.245,0.276,0.245,0.207,0.246,0.305,0.172
07/29,0.272,0.324,0.255,0.287,0.255,0.215,0.252,0.318,0.164
07/30,0.27,0.323,0.252,0.285,0.252,0.212,0.247,0.315,0.15
07/31,0.255,0.306,0.241,0.269,0.241,0.203,0.232,0.3,0.127
08/01,0.257,0.308,0.243,0.273,0.243,0.206,0.234,0.302,0.108
08/02,0.263,0.315,0.246,0.278,0.246,0.21,0.235,0.308,0.134
08/03,0.25,0.3,0.236,0.264,0.236,0.199,0.22,0.294,0.121
08/04,0.253,0.302,0.236,0.266,0.236,0.202,0.217,0.296,0.107
08/05,0.235,0.284,0.22,0.248,0.22,0.188,0.199,0.275,0.041
08/06,0.234,0.276,0.222,0.247,0.222,0.186,0.195,0.274,0.135
08/07,0.245,0.283,0.232,0.259,0.232,0.195,0.202,0.287,0.115
08/08,0.239,0.279,0.225,0.252,0.225,0.192,0.193,0.277,0.1
08/09,0.232,0.267,0.218,0.243,0.218,0.184,0.184,0.26,0.12
08/10,0.245,0.283,0.228,0.256,0.228,0.195,0.192,0.271,0.065
08/11,0.244,0.285,0.228,0.253,0.228,0.195,0.186,0.262,0.11
08/12,0.245,0.287,0.23,0.256,0.23,0.195,0.182,0.25,0.11
08/13,0.232,0.27,0.218,0.242,0.218,0.185,0.168,0.223,0.09
08/14,0.228,0.262,0.215,0.238,0.215,0.181,0.162,0.206,0.08
08/15,0.236,0.273,0.221,0.245,0.221,0.188,0.164,0.199,0.0
08/16,0.24,0.282,0.226,0.249,0.226,0.191,0.165,0.19,
08/17,0.221,0.255,0.207,0.229,0.207,0.175,0.146,0.165,
08/18,0.212,0.25,0.198,0.219,0.198,0.169,0.138,0.147,
08/19,0.223,0.262,0.21,0.232,0.21,0.178,0.139,0.142,
08/20,0.228,0.267,0.212,0.235,0.212,0.182,0.139,0.124,
08/21,0.211,0.244,0.197,0.216,0.197,0.168,0.121,0.115,
08/22,0.196,0.228,0.186,0.202,0.186,0.156,0.114,0.097,
08/23,0.198,0.229,0.188,0.206,0.188,0.16,0.112,0.088,
08/24,0.195,0.228,0.184,0.202,0.184,0.156,0.107,0.076,
08/25,0.196,0.229,0.185,0.202,0.185,0.156,0.104,0.009,
08/26,0.206,0.236,0.192,0.209,0.192,0.162,0.104,0.12,
08/27,0.209,0.246,0.199,0.215,0.199,0.167,0.1,0.09,
08/28,0.207,0.242,0.194,0.211,0.194,0.161,0.094,0.08,
08/29,0.218,0.259,0.205,0.222,0.206,0.171,0.096,0.08,
08/30,0.195,0.23,0.182,0.2,0.183,0.152,0.085,0.0,
08/31,0.196,0.23,0.184,0.199,0.184,0.152,0.079,,
09/01,0.185,0.216,0.172,0.188,0.172,0.142,0.068,,
09/02,0.204,0.24,0.192,0.208,0.192,0.158,0.071,,
09/03,0.189,0.223,0.178,0.194,0.178,0.146,0.065,,
09/04,0.186,0.217,0.174,0.187,0.175,0.142,0.058,,
09/05,0.19,0.224,0.18,0.193,0.18,0.146,0.048,,
09/06,0.174,0.208,0.165,0.178,0.165,0.134,0.07,,
09/07,0.187,0.22,0.175,0.19,0.175,0.14,0.066,,
09/08,0.181,0.21,0.168,0.182,0.169,0.135,0.06,,
09/09,0.197,0.231,0.186,0.2,0.187,0.147,0.062,,
09/10,0.175,0.201,0.161,0.175,0.162,0.126,0.044,,
09/11,0.175,0.205,0.164,0.177,0.165,0.128,0.057,,
09/12,0.175,0.204,0.163,0.175,0.165,0.129,0.057,,
09/13,0.178,0.207,0.162,0.177,0.166,0.129,0.052,,
09/14,0.166,0.193,0.152,0.167,0.155,0.117,0.042,,
09/15,0.173,0.203,0.158,0.174,0.163,0.124,0.028,,
09/16,0.148,0.172,0.135,0.148,0.138,0.105,0.085,,
09/17,0.15,0.175,0.136,0.15,0.142,0.105,0.075,,
09/18,0.142,0.165,0.128,0.142,0.134,0.098,0.075,,
09/19,0.137,0.159,0.123,0.137,0.129,0.093,0.07,,
09/20,0.141,0.158,0.126,0.139,0.131,0.092,0.055,,
09/21,0.128,0.145,0.113,0.127,0.121,0.082,0.12,,
09/22,0.132,0.15,0.117,0.13,0.124,0.081,0.12,,
09/23,0.136,0.158,0.121,0.135,0.127,0.083,0.13,,
09/24,0.132,0.153,0.115,0.127,0.125,0.075,0.17,,
09/25,0.142,0.168,0.126,0.141,0.134,0.08,0.09,,
09/26,0.136,0.161,0.119,0.134,0.129,0.075,0.11,,
09/27,0.142,0.166,0.122,0.138,0.132,0.074,0.11,,
09/28,0.124,0.145,0.105,0.12,0.115,0.062,0.09,,
09/29,0.123,0.142,0.105,0.12,0.117,0.06,0.11,,
09/30,0.0,0.0,0.09,0.102,0.0,0.0,0.11,,
10/01,,,0.088,0.103,,,0.08,,
10/02,,,0.097,0.111,,,0.09,,
10/03,,,0.085,0.098,,,0.08,,
10/04,,,0.095,0.109,,,0.07,,
10/05,,,0.093,0.109,,,0.06,,
10/06,,,0.106,0.123,,,0.04,,
10/07,,,0.092,0.109,,,0.05,,
10/08,,,0.091,0.108,,,0.05,,
10/09,,,0.091,0.108,,,0.04,,
10/10,,,0.095,0.113,,,0.03,,
10/11,,,0.077,0.092,,,0.06,,
10/12,,,0.076,0.093,,,0.04,,
10/13,,,0.086,0.103,,,0.05,,
10/14,,,0.077,0.093,,,0.04,,
10/15,,,0.079,0.097,,,0.03,,
10/16,,,0.091,0.112,,,0.03,,
10/17,,,0.082,0.099,,,0.04,,
10/18,,,0.076,0.094,,,0.04,,
10/19,,,0.083,0.102,,,0.03,,
10/20,,,0.0,0.0,,,0.03,,
10/21,,,,,,,0.03,,
10/22,,,,,,,0.03,,
10/23,,,,,,,0.02,,
10/24,,,,,,,0.02,,
10/25,,,,,,,0.02,,
10/26,,,,,,,0.01,,
10/27,,,,,,,0.01,,
10/28,,,,,,,0.01,,
10/29,,,,,,,0.01,,
10/30,,,,,,,0.01,,
10/31,,,,,,,0.01,,
11/01,,,,,,,0.0,,
