# Station Code,jckm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
03/10,,,,,,,,0.01
03/11,,,,,,,,0.02
03/12,,,,,,,,0.03
03/13,,,,,,,,0.025
03/14,,,,,,,,0.02
03/15,,,0.015,0.02,,,,0.025
03/16,,,0.01,0.02,,,,0.025
03/17,,,0.02,0.03,,,,0.04
03/18,,,0.02,0.025,,,,0.04
03/19,,,0.02,0.03,,,,0.045
03/20,0.02,0.02,0.025,0.035,,,,0.055
03/21,0.015,0.015,0.03,0.03,,,,0.037
03/22,0.02,0.02,0.035,0.035,,,,0.043
03/23,0.03,0.03,0.07,0.06,,,,0.063
03/24,0.025,0.025,0.05,0.04,,,,0.047
03/25,0.015,0.015,0.03,0.027,,,,0.043
03/26,0.02,0.02,0.037,0.03,,,,0.043
03/27,0.025,0.025,0.043,0.037,,,,0.057
03/28,0.025,0.025,0.05,0.047,,,,0.07
03/29,0.03,0.03,0.05,0.04,,,,0.057
03/30,0.04,0.04,0.057,0.037,,,,0.063
03/31,0.045,0.045,0.067,0.05,,,,0.077
04/01,0.033,0.033,0.063,0.05,,,,0.06
04/02,0.037,0.037,0.073,0.05,,,,0.068
04/03,0.047,0.047,0.08,0.057,,,,0.065
04/04,0.04,0.04,0.073,0.053,,,,0.065
04/05,0.04,0.04,0.048,0.035,,,,0.05
04/06,0.047,0.047,0.065,0.048,,,,0.075
04/07,0.087,0.087,0.115,0.087,,,,0.128
04/08,0.09,0.09,0.11,0.083,,,,0.12
04/09,0.073,0.073,0.09,0.073,,,,0.105
04/10,0.06,0.06,0.085,0.07,0.02,,0.025,0.1
04/11,0.05,0.05,0.075,0.055,0.02,,0.02,0.083
04/12,0.053,0.053,0.072,0.052,0.02,,0.02,0.075
04/13,0.065,0.065,0.095,0.07,0.03,,0.025,0.1
04/14,0.055,0.055,0.077,0.055,0.02,,0.02,0.08
04/15,0.05,0.05,0.077,0.057,0.02,,0.02,0.083
04/16,0.07,0.07,0.105,0.075,0.025,,0.027,0.113
04/17,0.092,0.092,0.115,0.085,0.03,,0.037,0.125
04/18,0.077,0.077,0.098,0.072,0.035,,0.027,0.105
04/19,0.08,0.08,0.1,0.075,0.03,,0.03,0.107
04/20,0.08,0.08,0.095,0.073,0.03,,0.03,0.107
04/21,0.1,0.1,0.113,0.085,0.03,,0.037,0.125
04/22,0.08,0.08,0.09,0.07,0.02,,0.027,0.098
04/23,0.08,0.08,0.092,0.073,0.025,,0.03,0.1
04/24,0.073,0.077,0.087,0.063,0.03,,0.035,0.09
04/25,0.1,0.103,0.107,0.087,0.033,,0.037,0.12
04/26,0.083,0.083,0.097,0.073,0.027,,0.03,0.107
04/27,0.12,0.123,0.133,0.1,0.043,,0.043,0.15
04/28,0.123,0.127,0.14,0.107,0.043,,0.05,0.157
04/29,0.137,0.143,0.157,0.12,0.047,,0.053,0.173
04/30,0.125,0.13,0.135,0.105,0.04,,0.05,0.152
05/01,0.15,0.157,0.163,0.127,0.053,,0.06,0.183
05/02,0.147,0.157,0.153,0.123,0.05,,0.067,0.18
05/03,0.167,0.177,0.17,0.137,0.06,,0.083,0.197
05/04,0.157,0.17,0.163,0.133,0.057,,0.083,0.193
05/05,0.167,0.183,0.167,0.133,0.067,,0.107,0.2
05/06,0.12,0.13,0.113,0.097,0.047,,0.077,0.143
05/07,0.097,0.107,0.097,0.08,0.037,,0.063,0.117
05/08,0.097,0.103,0.1,0.08,0.037,,0.06,0.117
05/09,0.1,0.113,0.097,0.083,0.04,,0.07,0.12
05/10,0.14,0.153,0.133,0.113,0.057,0.05,0.1,0.163
05/11,0.153,0.17,0.147,0.123,0.067,0.05,0.117,0.18
05/12,0.16,0.177,0.15,0.13,0.067,0.06,0.12,0.187
05/13,0.147,0.17,0.14,0.12,0.067,0.05,0.12,0.173
05/14,0.163,0.187,0.153,0.13,0.073,0.07,0.13,0.19
05/15,0.203,0.233,0.193,0.163,0.1,0.075,0.18,0.237
05/16,0.183,0.213,0.177,0.147,0.093,0.065,0.163,0.217
05/17,0.187,0.217,0.177,0.153,0.103,0.08,0.183,0.22
05/18,0.153,0.18,0.147,0.123,0.08,0.05,0.14,0.18
05/19,0.133,0.157,0.127,0.107,0.07,0.03,0.123,0.157
05/20,0.12,0.143,0.117,0.097,0.063,0.043,0.113,0.143
05/21,0.137,0.16,0.127,0.11,0.077,0.05,0.133,0.16
05/22,0.15,0.177,0.143,0.12,0.097,0.057,0.16,0.177
05/23,0.12,0.14,0.113,0.093,0.073,0.043,0.123,0.14
05/24,0.107,0.127,0.1,0.083,0.073,0.04,0.117,0.127
05/25,0.117,0.137,0.11,0.093,0.08,0.047,0.127,0.137
05/26,0.127,0.147,0.117,0.1,0.093,0.05,0.14,0.147
05/27,0.163,0.19,0.15,0.13,0.123,0.067,0.18,0.19
05/28,0.107,0.127,0.103,0.087,0.083,0.047,0.123,0.127
05/29,0.157,0.183,0.147,0.123,0.123,0.07,0.173,0.183
05/30,0.18,0.212,0.173,0.143,0.138,0.075,0.205,0.212
05/31,0.163,0.193,0.153,0.13,0.147,0.077,0.187,0.193
06/01,0.193,0.227,0.183,0.153,0.177,0.097,0.223,0.227
06/02,0.173,0.203,0.163,0.14,0.167,0.083,0.2,0.203
06/03,0.177,0.21,0.17,0.143,0.173,0.093,0.207,0.21
06/04,0.18,0.21,0.167,0.143,0.17,0.093,0.207,0.21
06/05,0.173,0.203,0.163,0.137,0.167,0.097,0.2,0.203
06/06,0.17,0.2,0.16,0.137,0.17,0.093,0.197,0.2
06/07,0.2,0.233,0.187,0.157,0.203,0.113,0.23,0.233
06/08,0.147,0.17,0.137,0.117,0.15,0.083,0.17,0.17
06/09,0.137,0.16,0.13,0.11,0.147,0.08,0.16,0.16
06/10,0.107,0.127,0.1,0.083,0.113,0.063,0.127,0.127
06/11,0.143,0.167,0.133,0.113,0.157,0.093,0.167,0.167
06/12,0.143,0.17,0.137,0.117,0.163,0.097,0.17,0.17
06/13,0.197,0.233,0.187,0.16,0.223,0.133,0.233,0.233
06/14,0.173,0.2,0.16,0.133,0.193,0.123,0.2,0.2
06/15,0.163,0.193,0.153,0.133,0.19,0.123,0.193,0.193
06/16,0.183,0.217,0.173,0.147,0.213,0.14,0.217,0.217
06/17,0.183,0.213,0.17,0.147,0.213,0.143,0.213,0.213
06/18,0.17,0.2,0.16,0.133,0.2,0.137,0.2,0.2
06/19,0.137,0.16,0.13,0.107,0.16,0.11,0.16,0.16
06/20,0.11,0.13,0.103,0.09,0.13,0.093,0.13,0.13
06/21,0.183,0.217,0.173,0.15,0.213,0.157,0.217,0.217
06/22,0.243,0.283,0.227,0.19,0.277,0.21,0.283,0.283
06/23,0.193,0.227,0.18,0.157,0.22,0.17,0.227,0.227
06/24,0.2,0.237,0.19,0.16,0.23,0.183,0.237,0.237
06/25,0.198,0.233,0.185,0.16,0.22,0.175,0.233,0.233
06/26,0.233,0.273,0.217,0.187,0.253,0.22,0.273,0.273
06/27,0.22,0.26,0.21,0.177,0.23,0.213,0.26,0.26
06/28,0.27,0.317,0.253,0.213,0.277,0.26,0.317,0.317
06/29,0.247,0.29,0.233,0.197,0.253,0.243,0.29,0.29
06/30,0.26,0.303,0.243,0.203,0.253,0.253,0.303,0.303
07/01,0.297,0.347,0.277,0.237,0.29,0.293,0.347,0.343
07/02,0.28,0.33,0.263,0.223,0.263,0.283,0.33,0.323
07/03,0.22,0.26,0.207,0.177,0.203,0.23,0.26,0.253
07/04,0.217,0.253,0.203,0.173,0.187,0.223,0.253,0.247
07/05,0.243,0.287,0.23,0.197,0.2,0.253,0.287,0.273
07/06,0.247,0.293,0.233,0.197,0.197,0.26,0.293,0.273
07/07,0.25,0.297,0.24,0.203,0.19,0.263,0.297,0.267
07/08,0.24,0.287,0.23,0.193,0.173,0.26,0.287,0.253
07/09,0.247,0.293,0.237,0.2,0.17,0.27,0.293,0.253
07/10,0.25,0.293,0.237,0.2,0.157,0.27,0.293,0.243
07/11,0.237,0.277,0.223,0.187,0.137,0.257,0.277,0.22
07/12,0.263,0.31,0.25,0.21,0.147,0.283,0.31,0.24
07/13,0.25,0.297,0.237,0.2,0.127,0.277,0.297,0.22
07/14,0.27,0.32,0.257,0.217,0.133,0.297,0.32,0.227
07/15,0.25,0.293,0.233,0.2,0.117,0.273,0.29,0.2
07/16,0.273,0.32,0.257,0.217,0.117,0.3,0.317,0.21
07/17,0.267,0.313,0.25,0.213,0.103,0.293,0.31,0.193
07/18,0.253,0.297,0.24,0.2,0.097,0.277,0.29,0.173
07/19,0.263,0.31,0.247,0.21,0.093,0.29,0.293,0.173
07/20,0.277,0.327,0.26,0.223,0.067,0.303,0.303,0.167
07/21,0.283,0.33,0.263,0.223,0.1,0.307,0.297,0.16
07/22,0.277,0.327,0.26,0.22,0.095,0.303,0.293,0.15
07/23,0.277,0.327,0.263,0.22,0.09,0.303,0.283,0.14
07/24,0.267,0.317,0.253,0.217,0.09,0.293,0.27,0.127
07/25,0.23,0.27,0.217,0.18,0.04,0.25,0.213,0.047
07/26,0.253,0.297,0.237,0.2,0.08,0.277,0.223,0.14
07/27,0.243,0.287,0.23,0.193,0.06,0.267,0.197,0.11
07/28,0.257,0.3,0.24,0.2,0.07,0.28,0.193,0.12
07/29,0.297,0.347,0.277,0.237,0.07,0.323,0.21,0.13
07/30,0.307,0.36,0.287,0.247,0.07,0.337,0.203,0.13
07/31,0.31,0.363,0.29,0.247,0.06,0.34,0.18,0.1
08/01,0.277,0.327,0.26,0.22,0.0,0.303,0.11,0.0
08/02,0.23,0.273,0.22,0.187,,0.253,0.125,
08/03,0.267,0.313,0.25,0.213,,0.29,0.135,
08/04,0.24,0.287,0.23,0.193,,0.267,0.1,
08/05,0.16,0.183,0.147,0.127,,0.17,0.025,
08/06,0.17,0.197,0.157,0.133,,0.18,0.04,
08/07,0.237,0.277,0.22,0.187,,0.253,0.1,
08/08,0.193,0.227,0.183,0.157,,0.207,0.07,
08/09,0.2,0.237,0.19,0.16,,0.213,0.07,
08/10,0.203,0.24,0.193,0.163,,0.217,0.0,
08/11,0.243,0.283,0.227,0.19,,0.257,,
08/12,0.217,0.253,0.203,0.17,,0.227,,
08/13,0.24,0.28,0.22,0.19,,0.25,,
08/14,0.25,0.293,0.233,0.197,,0.263,,
08/15,0.29,0.34,0.273,0.23,,0.3,,
08/16,0.267,0.31,0.25,0.207,,0.27,,
08/17,0.243,0.287,0.23,0.197,,0.253,,
08/18,0.16,0.19,0.153,0.127,,0.167,,
08/19,0.21,0.243,0.193,0.163,,0.213,,
08/20,0.17,0.197,0.157,0.133,,0.17,,
08/21,0.12,0.14,0.113,0.097,,0.12,,
08/22,0.183,0.217,0.173,0.15,,0.18,,
08/23,0.173,0.207,0.163,0.14,,0.173,,
08/24,0.173,0.203,0.163,0.14,,0.17,,
08/25,0.153,0.18,0.147,0.123,,0.147,,
08/26,0.173,0.2,0.16,0.137,,0.163,,
08/27,0.173,0.203,0.163,0.14,,0.163,,
08/28,0.187,0.22,0.18,0.147,,0.18,,
08/29,0.207,0.243,0.193,0.163,,0.193,,
08/30,0.18,0.21,0.167,0.14,,0.167,,
08/31,0.2,0.237,0.19,0.157,,0.193,,
09/01,0.19,0.227,0.183,0.15,,0.18,,
09/02,0.203,0.237,0.19,0.157,,0.19,,
09/03,0.147,0.17,0.137,0.11,,0.13,,
09/04,0.173,0.203,0.163,0.133,,0.157,,
09/05,0.207,0.24,0.193,0.16,,0.183,,
09/06,0.21,0.247,0.197,0.16,,0.187,,
09/07,0.22,0.26,0.207,0.17,,0.197,,
09/08,0.187,0.223,0.18,0.143,,0.163,,
09/09,0.16,0.19,0.15,0.12,,0.137,,
09/10,0.157,0.187,0.15,0.12,,0.133,,
09/11,0.117,0.14,0.113,0.09,,0.1,,
09/12,0.147,0.17,0.137,0.107,,0.12,,
09/13,0.1,0.117,0.093,0.07,,0.08,,
09/14,0.133,0.157,0.123,0.097,,0.103,,
09/15,0.157,0.183,0.147,0.113,,0.117,,
09/16,0.143,0.167,0.133,0.103,,0.107,,
09/17,0.193,0.223,0.177,0.137,,0.137,,
09/18,0.177,0.207,0.163,0.127,,0.12,,
09/19,0.123,0.143,0.113,0.087,,0.077,,
09/20,0.1,0.117,0.093,0.07,,0.027,,
09/21,0.12,0.14,0.11,0.083,,0.05,,
09/22,0.09,0.107,0.087,0.06,,0.03,,
09/23,0.11,0.13,0.103,0.073,,0.08,,
09/24,0.12,0.14,0.11,0.077,,0.07,,
09/25,0.137,0.16,0.13,0.087,,0.0,,
09/26,0.147,0.17,0.133,0.09,,,,
09/27,0.127,0.15,0.117,0.077,,,,
09/28,0.113,0.133,0.107,0.067,,,,
09/29,0.097,0.11,0.087,0.053,,,,
09/30,0.077,0.09,0.073,0.043,,,,
10/01,0.053,0.067,0.053,0.03,,,,
10/02,0.093,0.107,0.087,0.047,,,,
10/03,0.103,0.123,0.1,0.053,,,,
10/04,0.133,0.153,0.123,0.063,,,,
10/05,0.0,0.0,0.0,0.0,,,,
