# Station Code,lewu
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
02/26,,,,,,0.01
02/27,,,,,,0.02
02/28,,,,,,0.02
02/29,,,,,,0.03
03/01,,,,,,0.015
03/02,,,,,0.01,0.02
03/03,,,,,0.01,0.018
03/04,,,,,0.01,0.025
03/05,0.01,0.01,0.007,0.017,0.02,0.025
03/06,0.02,0.02,0.013,0.023,0.02,0.025
03/07,0.02,0.02,0.017,0.03,0.03,0.035
03/08,0.02,0.02,0.013,0.02,0.02,0.028
03/09,0.02,0.02,0.013,0.017,0.02,0.033
03/10,0.018,0.018,0.02,0.023,0.03,0.042
03/11,0.018,0.018,0.027,0.033,0.03,0.036
03/12,0.018,0.018,0.03,0.03,0.02,0.041
03/13,0.018,0.018,0.037,0.033,0.03,0.04
03/14,0.022,0.022,0.053,0.037,0.04,0.046
03/15,0.025,0.025,0.037,0.033,0.05,0.046
03/16,0.025,0.025,0.036,0.031,0.05,0.054
03/17,0.035,0.035,0.043,0.037,0.06,0.059
03/18,0.037,0.037,0.041,0.039,0.05,0.064
03/19,0.033,0.033,0.043,0.04,0.05,0.063
03/20,0.03,0.03,0.044,0.04,0.033,0.056
03/21,0.034,0.034,0.053,0.043,0.04,0.064
03/22,0.029,0.029,0.041,0.031,0.03,0.046
03/23,0.03,0.03,0.049,0.034,0.028,0.054
03/24,0.031,0.031,0.05,0.036,0.025,0.054
03/25,0.036,0.036,0.05,0.034,0.033,0.056
03/26,0.045,0.045,0.065,0.045,0.037,0.074
03/27,0.054,0.054,0.072,0.051,0.05,0.085
03/28,0.064,0.064,0.087,0.064,0.053,0.099
03/29,0.055,0.055,0.075,0.054,0.048,0.086
03/30,0.056,0.056,0.069,0.049,0.048,0.079
03/31,0.08,0.08,0.1,0.071,0.083,0.113
04/01,0.074,0.074,0.094,0.064,0.043,0.104
04/02,0.074,0.074,0.09,0.062,0.039,0.103
04/03,0.081,0.081,0.1,0.07,0.043,0.113
04/04,0.095,0.095,0.114,0.081,0.055,0.126
04/05,0.109,0.109,0.124,0.09,0.06,0.14
04/06,0.071,0.071,0.08,0.058,0.036,0.092
04/07,0.095,0.096,0.107,0.077,0.049,0.122
04/08,0.101,0.101,0.113,0.083,0.045,0.126
04/09,0.105,0.106,0.114,0.083,0.052,0.131
04/10,0.113,0.113,0.121,0.089,0.059,0.136
04/11,0.107,0.109,0.114,0.086,0.064,0.131
04/12,0.106,0.11,0.11,0.085,0.061,0.128
04/13,0.11,0.114,0.119,0.09,0.062,0.135
04/14,0.094,0.099,0.094,0.072,0.068,0.111
04/15,0.074,0.075,0.075,0.056,0.039,0.089
04/16,0.12,0.125,0.121,0.092,0.069,0.145
04/17,0.119,0.128,0.12,0.094,0.08,0.144
04/18,0.127,0.136,0.127,0.099,0.094,0.15
04/19,0.135,0.144,0.133,0.107,0.09,0.16
04/20,0.141,0.154,0.138,0.11,0.101,0.165
04/21,0.138,0.151,0.133,0.108,0.115,0.161
04/22,0.17,0.189,0.164,0.134,0.133,0.197
04/23,0.149,0.163,0.143,0.116,0.113,0.171
04/24,0.117,0.127,0.11,0.09,0.091,0.136
04/25,0.11,0.121,0.104,0.086,0.089,0.127
04/26,0.113,0.126,0.106,0.086,0.093,0.13
04/27,0.147,0.164,0.137,0.114,0.127,0.171
04/28,0.156,0.179,0.147,0.124,0.14,0.183
04/29,0.152,0.174,0.143,0.119,0.144,0.177
04/30,0.13,0.151,0.121,0.105,0.128,0.152
05/01,0.151,0.179,0.143,0.122,0.149,0.177
05/02,0.151,0.177,0.141,0.12,0.155,0.176
05/03,0.145,0.171,0.136,0.116,0.149,0.17
05/04,0.164,0.193,0.154,0.131,0.169,0.191
05/05,0.169,0.198,0.158,0.135,0.176,0.198
05/06,0.175,0.205,0.164,0.14,0.184,0.205
05/07,0.161,0.189,0.151,0.128,0.17,0.189
05/08,0.139,0.164,0.131,0.114,0.15,0.164
05/09,0.145,0.17,0.136,0.118,0.156,0.17
05/10,0.154,0.181,0.144,0.124,0.17,0.181
05/11,0.151,0.177,0.141,0.12,0.167,0.177
05/12,0.199,0.233,0.186,0.159,0.223,0.233
05/13,0.17,0.2,0.158,0.136,0.193,0.2
05/14,0.178,0.209,0.168,0.143,0.204,0.209
05/15,0.155,0.181,0.146,0.124,0.176,0.181
05/16,0.158,0.185,0.147,0.125,0.18,0.185
05/17,0.15,0.175,0.139,0.119,0.173,0.175
05/18,0.168,0.198,0.155,0.135,0.194,0.198
05/19,0.152,0.179,0.144,0.121,0.176,0.179
05/20,0.155,0.181,0.144,0.124,0.179,0.181
05/21,0.143,0.168,0.131,0.115,0.166,0.168
05/22,0.139,0.164,0.13,0.113,0.164,0.164
05/23,0.146,0.171,0.136,0.116,0.161,0.171
05/24,0.156,0.183,0.146,0.124,0.181,0.183
05/25,0.166,0.196,0.156,0.133,0.194,0.196
05/26,0.168,0.197,0.158,0.132,0.195,0.197
05/27,0.161,0.188,0.151,0.128,0.191,0.188
05/28,0.146,0.172,0.139,0.117,0.172,0.172
05/29,0.173,0.203,0.162,0.139,0.203,0.203
05/30,0.196,0.23,0.184,0.158,0.23,0.23
05/31,0.194,0.228,0.182,0.155,0.229,0.228
06/01,0.199,0.234,0.188,0.159,0.237,0.234
06/02,0.184,0.216,0.171,0.146,0.229,0.216
06/03,0.203,0.24,0.191,0.164,0.247,0.24
06/04,0.206,0.24,0.193,0.163,0.251,0.24
06/05,0.224,0.264,0.211,0.18,0.266,0.264
06/06,0.221,0.26,0.206,0.176,0.263,0.26
06/07,0.214,0.25,0.2,0.169,0.257,0.25
06/08,0.225,0.265,0.214,0.179,0.271,0.265
06/09,0.25,0.294,0.235,0.199,0.303,0.294
06/10,0.209,0.245,0.198,0.166,0.225,0.245
06/11,0.198,0.233,0.186,0.158,0.212,0.233
06/12,0.211,0.247,0.199,0.168,0.229,0.247
06/13,0.201,0.238,0.192,0.162,0.224,0.237
06/14,0.214,0.25,0.199,0.171,0.242,0.249
06/15,0.246,0.288,0.231,0.196,0.281,0.287
06/16,0.217,0.252,0.2,0.171,0.248,0.251
06/17,0.224,0.263,0.211,0.178,0.26,0.261
06/18,0.226,0.267,0.213,0.181,0.264,0.262
06/19,0.238,0.279,0.224,0.19,0.278,0.273
06/20,0.222,0.26,0.207,0.177,0.258,0.253
06/21,0.239,0.281,0.224,0.192,0.277,0.27
06/22,0.226,0.266,0.212,0.18,0.261,0.254
06/23,0.24,0.282,0.226,0.19,0.277,0.269
06/24,0.218,0.257,0.206,0.176,0.25,0.242
06/25,0.227,0.266,0.212,0.18,0.257,0.247
06/26,0.246,0.288,0.23,0.196,0.279,0.263
06/27,0.252,0.294,0.234,0.2,0.286,0.266
06/28,0.24,0.281,0.224,0.19,0.269,0.248
06/29,0.219,0.258,0.206,0.174,0.244,0.219
06/30,0.193,0.23,0.183,0.156,0.217,0.193
07/01,0.233,0.274,0.219,0.187,0.259,0.222
07/02,0.246,0.287,0.229,0.193,0.272,0.222
07/03,0.241,0.282,0.227,0.191,0.266,0.21
07/04,0.243,0.287,0.23,0.194,0.268,0.204
07/05,0.229,0.269,0.216,0.183,0.259,0.189
07/06,0.244,0.288,0.23,0.194,0.276,0.196
07/07,0.258,0.304,0.244,0.206,0.288,0.2
07/08,0.232,0.273,0.218,0.186,0.26,0.168
07/09,0.257,0.302,0.242,0.206,0.279,0.174
07/10,0.247,0.29,0.233,0.198,0.247,0.16
07/11,0.246,0.288,0.23,0.194,0.274,0.17
07/12,0.246,0.288,0.231,0.194,0.266,0.156
07/13,0.259,0.303,0.244,0.206,0.283,0.155
07/14,0.252,0.296,0.238,0.201,0.264,0.141
07/15,0.243,0.284,0.228,0.193,0.258,0.129
07/16,0.256,0.3,0.24,0.203,0.266,0.128
07/17,0.253,0.297,0.238,0.201,0.256,0.119
07/18,0.243,0.286,0.227,0.193,0.238,0.105
07/19,0.24,0.28,0.223,0.19,0.214,0.096
07/20,0.242,0.286,0.228,0.194,0.205,0.028
07/21,0.242,0.284,0.227,0.193,0.19,0.11
07/22,0.238,0.279,0.223,0.189,0.171,0.11
07/23,0.233,0.274,0.22,0.188,0.155,0.11
07/24,0.236,0.277,0.221,0.188,0.144,0.075
07/25,0.226,0.264,0.212,0.181,0.096,0.0
07/26,0.227,0.266,0.213,0.181,0.138,
07/27,0.223,0.263,0.211,0.179,0.138,
07/28,0.222,0.262,0.211,0.178,0.13,
07/29,0.222,0.261,0.21,0.178,0.112,
07/30,0.219,0.258,0.206,0.177,0.102,
07/31,0.221,0.26,0.208,0.177,0.09,
08/01,0.222,0.26,0.208,0.176,0.024,
08/02,0.209,0.242,0.194,0.163,0.06,
08/03,0.206,0.24,0.191,0.162,0.03,
08/04,0.209,0.247,0.198,0.166,0.06,
08/05,0.218,0.257,0.206,0.176,0.0,
08/06,0.196,0.23,0.183,0.157,,
08/07,0.186,0.218,0.174,0.149,,
08/08,0.188,0.221,0.178,0.15,,
08/09,0.213,0.25,0.202,0.17,,
08/10,0.211,0.248,0.2,0.169,,
08/11,0.223,0.263,0.21,0.178,,
08/12,0.213,0.25,0.2,0.169,,
08/13,0.212,0.248,0.197,0.17,,
08/14,0.212,0.25,0.199,0.17,,
08/15,0.209,0.246,0.196,0.168,,
08/16,0.204,0.24,0.194,0.162,,
08/17,0.237,0.278,0.222,0.189,,
08/18,0.189,0.22,0.174,0.15,,
08/19,0.188,0.219,0.176,0.148,,
08/20,0.181,0.212,0.169,0.144,,
08/21,0.181,0.214,0.171,0.147,,
08/22,0.183,0.216,0.172,0.147,,
08/23,0.198,0.232,0.186,0.158,,
08/24,0.197,0.23,0.184,0.157,,
08/25,0.216,0.252,0.203,0.171,,
08/26,0.186,0.218,0.173,0.148,,
08/27,0.198,0.233,0.186,0.158,,
08/28,0.187,0.219,0.176,0.148,,
08/29,0.201,0.234,0.188,0.157,,
08/30,0.2,0.236,0.191,0.159,,
08/31,0.177,0.209,0.168,0.139,,
09/01,0.188,0.221,0.176,0.146,,
09/02,0.209,0.244,0.196,0.163,,
09/03,0.199,0.232,0.186,0.155,,
09/04,0.196,0.228,0.182,0.149,,
09/05,0.186,0.219,0.175,0.144,,
09/06,0.166,0.196,0.156,0.129,,
09/07,0.194,0.23,0.183,0.151,,
09/08,0.166,0.193,0.153,0.126,,
09/09,0.168,0.198,0.159,0.129,,
09/10,0.168,0.196,0.155,0.126,,
09/11,0.164,0.191,0.152,0.124,,
09/12,0.168,0.198,0.156,0.126,,
09/13,0.15,0.176,0.141,0.114,,
09/14,0.135,0.159,0.126,0.1,,
09/15,0.149,0.174,0.139,0.11,,
09/16,0.147,0.173,0.139,0.107,,
09/17,0.136,0.16,0.128,0.101,,
09/18,0.17,0.201,0.163,0.125,,
09/19,0.135,0.159,0.125,0.098,,
09/20,0.124,0.146,0.116,0.089,,
09/21,0.118,0.136,0.11,0.084,,
09/22,0.129,0.152,0.123,0.091,,
09/23,0.128,0.149,0.118,0.091,,
09/24,0.12,0.14,0.11,0.083,,
09/25,0.119,0.141,0.111,0.085,,
09/26,0.128,0.151,0.12,0.087,,
09/27,0.134,0.156,0.125,0.09,,
09/28,0.129,0.151,0.12,0.084,,
09/29,0.122,0.144,0.113,0.079,,
09/30,0.119,0.139,0.109,0.074,,
10/01,0.115,0.133,0.106,0.069,,
10/02,0.091,0.109,0.087,0.054,,
10/03,0.103,0.119,0.096,0.058,,
10/04,0.101,0.121,0.099,0.058,,
10/05,0.098,0.113,0.089,0.053,,
10/06,0.09,0.105,0.084,0.048,,
10/07,0.113,0.133,0.106,0.056,,
10/08,0.1,0.118,0.092,0.051,,
10/09,0.09,0.105,0.084,0.044,,
10/10,0.0,0.0,0.0,0.0,,
